Generation,Highest Fp,Average Fp,Iteration,Fp
,,,35.23325062,2.16134E+11
,,,35.30272953,2.39752E+11
,,,35.37220844,2.18457E+11
,,,35.44168734,2.3975E+11
,,,35.51116625,2.3975E+11
,,,35.58064516,2.13157E+11
,,,35.65012407,2.18457E+11
,,,35.71960298,1.27385E+11
,,,35.78908189,1.80032E+11
,,,35.85856079,2.18457E+11
,,,35.9280397,2.12985E+11
,,,35.99751861,1.03125E+11
,,,36.06699752,2.3975E+11
,,,36.13647643,2.16132E+11
,,,36.20595533,2.39674E+11
,,,36.27543424,2.38994E+11
,,,36.34491315,2.38994E+11
,,,36.41439206,2.29892E+11
,,,36.48387097,2.5445E+11
,,,36.55334988,2.2688E+11
,,,36.62282878,2.39752E+11
,,,36.69230769,2.3051E+11
,,,36.7617866,2.39752E+11
,,,36.83126551,2.40433E+11
,,,36.90074442,2.39752E+11
,,,36.97022333,2.39752E+11
,,,37.03970223,2.39752E+11
,,,37.10918114,2.40433E+11
,,,37.17866005,1.30778E+11
,,,37.24813896,2.3975E+11
,,,37.31761787,2.3975E+11
,,,37.38709677,2.62187E+11
,,,37.45657568,99207641816
,,,37.52605459,2.39752E+11
,,,37.5955335,2.30163E+11
,,,37.66501241,2.53817E+11
,,,37.73449132,2.12987E+11
,,,37.80397022,2.40244E+11
,,,37.87344913,2.53818E+11
,,,37.94292804,1.80633E+11
,,,38.01240695,2.30836E+11
,,,38.08188586,2.30163E+11
,,,38.15136476,2.39752E+11
,,,38.22084367,2.62187E+11
,,,38.29032258,2.53818E+11
,,,38.35980149,1.80589E+11
,,,38.4292804,1.04698E+11
,,,38.49875931,1.43566E+11
,,,38.56823821,2.5445E+11
,,,38.63771712,1.4705E+11
,,,38.70719603,2.53818E+11
,,,38.77667494,2.53653E+11
,,,38.84615385,1.81969E+11
,,,38.91563275,2.53818E+11
,,,38.98511166,2.53653E+11
,,,39.05459057,2.39674E+11
,,,39.12406948,2.63652E+11
,,,39.19354839,2.04029E+11
,,,39.2630273,2.62188E+11
,,,39.3325062,2.5445E+11
,,,39.40198511,2.62189E+11
,,,39.47146402,2.62189E+11
,,,39.54094293,2.43047E+11
,,,39.61042184,1.14218E+11
,,,39.67990074,1.58641E+11
,,,39.74937965,2.62189E+11
,,,39.81885856,2.62189E+11
,,,39.88833747,2.62189E+11
,,,39.95781638,2.53818E+11
,,,40.02729529,2.62189E+11
,,,40.09677419,2.62009E+11
,,,40.1662531,2.62189E+11
,,,40.23573201,2.62009E+11
,,,40.30521092,2.62189E+11
,,,40.37468983,2.38416E+11
,,,40.44416873,2.27004E+11
,,,40.51364764,2.62189E+11
,,,40.58312655,2.62189E+11
,,,40.65260546,2.62189E+11
,,,40.72208437,2.53818E+11
,,,40.79156328,2.62189E+11
,,,40.86104218,2.62189E+11
,,,40.93052109,2.62189E+11
,,,41,2.71653E+11
,,,41.06504065,2.62189E+11
,,,41.1300813,2.62189E+11
,,,41.19512195,2.62009E+11
,,,41.2601626,2.62189E+11
,,,41.32520325,2.50247E+11
,,,41.3902439,2.62781E+11
,,,41.45528455,2.62961E+11
,,,41.5203252,2.62961E+11
,,,41.58536585,2.62961E+11
